,channel,url,sb_url,,,,,,
39,SensorAdiASMR,https://www.youtube.com/user/SensorAdi,https://socialblade.com/youtube/user/SensorAdi/monthly,,,,,,
40,SleepyTinglesASMR,https://www.youtube.com/channel/UCuxrVcQuoORj9lvVrEzB_hA,https://socialblade.com/youtube/channel/UCuxrVcQuoORj9lvVrEzB_hA/monthly,,,,,,
41,softlygaloshes,https://www.youtube.com/user/softlygaloshes,https://socialblade.com/youtube/user/softlygaloshes/monthly,,,,,,
42,SouthernASMRSounds,https://www.youtube.com/channel/UCpw8ZudbxklOi73pWeI6s9A,https://socialblade.com/youtube/channel/UCpw8ZudbxklOi73pWeI6s9A/monthly,,,,,,
43,SpringbokASMR,https://www.youtube.com/channel/UC-r8XyqbggZobMiNsqgWkDg,https://socialblade.com/youtube/channel/UC-r8XyqbggZobMiNsqgWkDg/monthly,,,,,,
44,suellASMR,https://www.youtube.com/channel/UCiQOZOhSZpLaigDGgYhT4ng,https://socialblade.com/youtube/channel/UCiQOZOhSZpLaigDGgYhT4ng/monthly,,,,,,
45,TheOneLiliumASMR,https://www.youtube.com/user/TheOneLilium,https://socialblade.com/youtube/user/TheOneLilium/monthly,,,,,,
46,TingleBelleASMR,https://www.youtube.com/channel/UCAL_MPhlbwBNbotjRAzs5uQ,https://socialblade.com/youtube/channel/UCAL_MPhlbwBNbotjRAzs5uQ/monthly,,,,,,
47,TingTingASMR,https://www.youtube.com/channel/UClqNSqnWeOOUVkzcJFj4rBw,https://socialblade.com/youtube/channel/UClqNSqnWeOOUVkzcJFj4rBw/monthly,,,,,,
48,TirarADeguello,https://www.youtube.com/user/TirarADeguello,https://socialblade.com/youtube/user/TirarADeguello/monthly,,,,,,
49,TonyBomboniASMR,https://www.youtube.com/user/Asmrer,https://socialblade.com/youtube/user/Asmrer/monthly,,,,,,
50,WhispersRedASMR,https://www.youtube.com/user/WhispersRedASMR,https://socialblade.com/youtube/user/WhispersRedASMR/monthly,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
